text,label
"['JAGRAN', ' CAN TARGET ', '65', ' - ', '70', ' IN EXTREME SHORT TERM ']","['symbol', 'NANA', 'exit', 'NANA', 'exit2', 'NANA']"
"['KKCL', '..... ', '256', ' - ', '263', '+ ']","['symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' UPDATE  NELCAST GIVEN AT 67 IS GOING STRONG AT ', 'NELCAST', ' GIVEN AT ', '67', '', '69.90', '  KEEP ON BOOKING/ TRAILING ACCORDINGLY ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['VETO', '.. GIVEN AT ', '89', ' GOING STRONG AT ', '92.70', ' ']","['symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['DELIVERY', ' UPDATE  ', 'DELIVERY', ' BUY GIVEN IN BDL AT 782 YESTERDAY   GOING STRONG AT : ', 'BDL', ' AT ', '782', '', '809', '+ ']","['delivery', 'NANA', 'delivery', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['REFEX', ' HAVING A GREAT POTENTIAL OF TOUCHING 175+ IN EXTREME SHORT TERM..  INTRADAY : ', '175', 'INTRADAY', '143', '+ POSSIBLE ']","['symbol', 'NANA', 'exit2', 'intraday', 'exit', 'NANA']"
"['INTRADAY', 'EMMBI', ' ABOVE ', '99', ' SL ', '97', ' TARGET ', '107', ' - ', '111', ' - ', '113', ' ']","['intraday', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA', 'exit3', 'NANA']"
"['BSE', ' SHOWING 132+ ... CAN QUICKLY UPMOVE UPTO ', '132', '135', '+ ']","['symbol', 'NANA', 'touched', 'exit', 'NANA']"
"['INTRADAY', ' TARGET OF ', '75', '  ACHIEVED IN HFCL  BUY GIVEN AT 71.80 .. HIGH MADE : ', 'HFCL', '  BUY GIVEN AT ', '71.80', '', '75.25', ' ']","['intraday', 'NANA', 'touched', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' : BUY CHALET ABOVE 338 SL 334 TARGET 345 - ', 'CHALET', ' ABOVE ', '338', ' SL ', '334', ' TARGET ', '345', '', '350', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA']"
"['BTST', ' UPDATE  NAVA GIVEN AT 221 GOING STRONG AT ', 'NAVA', ' GIVEN AT ', '221', '', '227', '+ ']","['btst', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' UPDATE  BASML GIVEN ABOVE 55 GOING STRONG AT ', 'BASML', ' GIVEN ABOVE ', '55', '', '58.35', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INEOSSTYRO', '... MOVING UP  ', '893', ' TO ', '908', '+ TODAY ONLY ']","['symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['BTST', ' GIVEN IN ARCHIDPLY YESTERDAY AROUND 74  ROCKING TODAY AT ', 'ARCHIDPLY', ' YESTERDAY AROUND ', '74', '', '82.65', ' ']","['btst', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['BTST', ' GIVEN IN DANGEE AT 430 GOING STRONG AT ', 'DANGEE', ' AT ', '430', '', '438', '+ ']","['btst', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['DELIVERY', ' BUY GIVEN IN BEPL AROUND 117.. IS GOING STRONG AT ', 'BEPL', ' AROUND ', '117', '', '122', '+ ']","['delivery', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' UPDATE  HERCULES GIVEN AROUND 142 GOING STRONG AT ', 'HERCULES', ' GIVEN AROUND ', '142', '', '144.90', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' UPDATE  AURIONPRO GIVEN ABOVE 343 NOW GOING UP AT ', 'AURIONPRO', ' GIVEN ABOVE ', '343', '', '346.80', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['WATCHOUT...  OUR CALL IN ', 'RAMKY', ' GIVEN ABOVE ', '180', ' .. ROCKING NOW AT ', '189.15', ' (UPPER CIRCUIT) ']","['NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['DELIVERY', '  BUY HISARMET CMP 143 SL 113 TARGET 200  HUGE MOMENTUM ABOVE ', 'HISARMET', ' CMP ', '143', ' SL ', '113', ' TARGET ', '200', '', '148', ' ']","['delivery', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'entry_momentum', 'NANA']"
"['WATCHOUT.. ', 'HISARMET', ' GIVEN FOR DELIVERY AT ', 'DELIVERY', ' AT 143 GOING STRONG AT ', '143', '', '150', '+ ']","['NANA', 'symbol', 'NANA', 'delivery', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['GRSE', ' GIVEN FOR INTRADAY ABOVE ', 'INTRADAY', ' ABOVE 286 GOING STRONG AT ', '286', '', '289', '+  KEEP ON BOOKING / TRAILING ACCORDINGLY ']","['symbol', 'NANA', 'intraday', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['WATCHOUT FRIENDS...  ', 'REFEX', ' GIVEN FOR BUY AT ', '135', ' GOING STRONG AT ', '142', '+ ']","['NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['WATCHOUT...  ', 'MAXIND', '.. GIVEN ABOVE ', '81', ' ROCKING NOW AT ', '84', '+ ']","['NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['POLYMED', ' ABOVE ', '785', ' ROCKING NOW AT ', '825', '+ ']","['symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['MAXIND', '.. ON UPPER CIRCUIT 91.05.. TODAY GIVEN ABV ', '91.05', '81', ' FOR BUY ']","['symbol', 'NANA', 'touched', 'enter', 'NANA']"
